HJD,Relative_Flux,Relative_Flux_Uncertainty,Accepted,phase
2453344.6802809,0.993837,0.008844,1,-0.024479144465857416
2453344.6804083,1.00563,0.008238,1,-0.024443000099068968
2453344.6805358,1.001283,0.00806,1,-0.02440682732819255
2453344.6806632,1.001518,0.008629,1,-0.024370682829271573
2453344.6807906,1.002277,0.008636,1,-0.024334538462483124
2453344.6809181,0.993668,0.008163,1,-0.024298365691606705
2453344.6810455,0.991494,0.008173,1,-0.02426222119268573
2453344.6811729,0.990976,0.008387,1,-0.02422607682589728
2453344.6813005,1.015669,0.008425,1,-0.024189875650961312
2453344.6814278,0.984713,0.008318,1,-0.024153759556099885
2453344.6815552,0.987684,0.008407,1,-0.024117615189283015
2453344.6816826,1.001566,0.008476,1,-0.02408147069039046
2453344.6818101,0.997517,0.008441,1,-0.02404529791951404
2453344.6819375,0.99091,0.008776,1,-0.02400915355269717
2453344.6820649,0.993775,0.008235,1,-0.023973009053776195
2453344.6821924,1.001445,0.008028,1,-0.023936836282928198
2453344.6823198,1.013047,0.008627,1,-0.023900691916111327
2453344.6824472,0.998152,0.008623,1,-0.02386454741719035
2453344.6825747,0.998102,0.008153,1,-0.023828374646342354
2453344.6827021,0.989598,0.008159,1,-0.023792230279525484
2453344.6828295,0.992821,0.008385,1,-0.023756085780604508
2453344.6829569,1.014364,0.008413,1,-0.02371994141381606
2453344.6830844,0.992688,0.008315,1,-0.02368376864293964
2453344.6833392,1.012328,0.008476,1,-0.023611479777201794
2453344.6834667,0.999245,0.008441,1,-0.023575307006353796
2453344.6835941,0.99472,0.008605,1,-0.02353916250743282
2453344.683849,0.993554,0.008235,1,-0.023466845369767952
2453344.6839764,1.002759,0.008261,1,-0.023430700870846977
2453344.6841038,1.01253,0.008629,1,-0.023394556504030106
2453344.6842313,1.013884,0.00862,1,-0.02335838373318211
2453344.6843587,1.00728,0.008161,1,-0.023322239234261133
2453344.6844861,0.993628,0.008425,1,-0.023286094867444262
2453344.6846135,1.012076,0.008387,1,-0.023249950500627392
2453344.6857909,1.007204,0.008477,1,-0.02291591239253421
2453344.6859182,1.005055,0.008317,1,-0.02287979642977689
2453344.6860457,1.009664,0.008429,1,-0.022843623526796364
2453344.686173,1.003913,0.008476,1,-0.022807507564067464
2453344.6863006,1.002469,0.00844,1,-0.022771306389131496
2453344.6865553,0.991755,0.008549,1,-0.02269904592748162
2453344.6866829,0.998094,0.008235,1,-0.022662844752545652
2453344.6868102,1.008305,0.008235,1,-0.022626728657684225
2453344.6869377,0.989945,0.008602,1,-0.022590555886836228
2453344.687065,0.987768,0.008153,1,-0.0225544397919748
2453344.6871926,1.005598,0.008409,1,-0.022518238617038833
2453344.6873199,0.996155,0.008385,1,-0.02248212265428151
2453344.6874473,0.994817,0.008468,1,-0.022445978155388957
2453344.6875748,1.012928,0.008313,1,-0.022409805384512538
2453344.6877022,1.006079,0.008424,1,-0.022373661017695667
2453344.6878297,0.988457,0.008472,1,-0.02233748824684767
2453344.6879571,0.99158,0.008592,1,-0.022301343747926694
2453344.6880846,1.016717,0.008549,1,-0.022265170977050275
2453344.6882119,1.007564,0.008233,1,-0.022229054882188848
2453344.6883394,1.008928,0.008773,1,-0.02219288211134085
2453344.6884668,1.008843,0.008593,1,-0.02215673774452398
2453344.6885942,1.00174,0.008513,1,-0.022120593245603004
2453344.6887218,1.009797,0.008411,1,-0.022084392070667036
2453344.6888491,1.010262,0.008921,1,-0.022048276107938136
2453344.6889766,0.99807,0.008469,1,-0.022012103337061717
2453344.6891039,0.992066,0.008468,1,-0.02197598724222871
2453344.6892314,0.984136,0.008416,1,-0.021939814471352292
2453344.6893588,1.004492,0.00865,1,-0.021903669972431317
2453344.6894862,0.990084,0.00859,1,-0.021867525605614446
2453344.6897411,1.00409,0.008497,1,-0.021795208335845473
2453344.6898686,0.991435,0.008543,1,-0.021759035564969054
2453344.6899959,1.007894,0.008507,1,-0.021722919602240154
2453344.6901235,0.99685,0.008224,1,-0.021686718427304186
2453344.6905968,0.992563,0.008731,1,-0.02155243934811324
2453344.6907242,1.009277,0.0086,1,-0.021516294849192263
2453344.6908516,1.004086,0.008489,1,-0.021480150482375393
2453344.6909791,1.011089,0.008413,1,-0.021443977711527396
2453344.6911065,1.006184,0.008909,1,-0.02140783321260642
2453344.6912339,0.994173,0.008468,1,-0.02137168884578955
2453344.6913613,0.984448,0.008452,1,-0.021335544346868573
2453344.6914888,1.003178,0.008424,1,-0.021299371576020576
2453344.6916162,1.012778,0.008646,1,-0.021263227209203706
2453344.6917436,0.994583,0.008592,1,-0.02122708271028273
2453344.6918711,0.998038,0.008491,1,-0.02119090993940631
2453344.6919985,1.004293,0.008502,1,-0.021154765572617862
2453344.6921259,0.991718,0.008232,1,-0.021118621073696886
